Date,Ticker,Status,Entry_Ref,RR_Ratio,Kelly_Pct,Close_Price,Trend_State,RSI,IV_Rank,Crowding_Index,Win_Prob_10d,Risk_Loss_10d,Target_Prob_10d,Target_Median_10d,Win_Prob_20d,Risk_Loss_20d,Target_Prob_20d,Target_Median_20d,Win_Prob_60d,Risk_Loss_60d,Target_Prob_60d,Target_Median_60d,ATR_14,Hard_Stop_Loss,Target_Aggressive,RR_Score,PE_Percentile,IV_Status,SPY_State,Alpha_vs_SPY,Corr_vs_SPY,Action
2026-05-18,ORCL,未持有,186.61,1:1.00,0.0,186.61,中期走强，但,56.5,77.8,0.0,16.3,36.4,24.0,186.29,11.6,51.5,32.2,186.62,7.1,70.3,44.1,191.31,9.13,172.92,200.3,4.0,54.0,expensive,bull_core,0.01,0.443,持仓
2026-05-15,ORCL,未持有,192.84,1:1.00,0.0,192.84,中期走强，但,62.5,69.4,0.0,17.2,36.2,27.1,192.89,12.6,51.2,35.2,194.04,7.6,69.2,44.9,198.62,9.03,179.3,206.37,4.0,54.0,expensive,bull_core,0.06,0.413,持仓
2026-05-13,ORCL,未持有,189.76,1:1.00,0.0,189.76,中期走强，但,61.8,67.8,0.0,18.5,36.6,26.9,189.88,13.6,52.0,34.4,190.22,8.8,69.7,45.7,196.61,8.74,176.65,202.87,4.0,54.0,expensive,bull_core,0.06,0.405,持仓
2026-05-27,TSLA,未持有,440.36,1:1.00,0.0,440.36,中期走强，但,63.0,48.3,0.0,20.5,38.4,33.9,447.3,15.6,51.6,42.0,451.45,10.8,66.6,53.4,474.18,15.63,416.92,463.8,4.0,100.0,neutral,bull_core,0.12,0.631,持仓
2026-05-26,TSLA,未持有,433.59,1:1.00,0.0,433.59,中期走强，但,60.9,52.8,0.0,20.7,37.6,32.8,439.32,15.3,51.0,39.3,442.25,10.0,66.8,50.7,459.29,15.91,409.73,457.45,4.0,100.0,neutral,bull_core,0.1,0.635,持仓
2026-05-23,TSLA,未持有,426.01,1:1.00,0.0,426.01,中期走强，但,58.3,52.8,0.0,21.2,35.5,30.3,431.38,16.2,49.3,40.3,435.82,10.6,64.8,50.5,451.96,16.42,401.38,450.64,4.0,100.0,neutral,bull_core,0.09,0.635,持仓
2026-05-21,TSLA,未持有,417.85,1:1.00,0.0,417.85,中期走强，但,55.4,51.1,0.0,19.7,36.0,29.9,422.32,14.8,50.3,37.3,424.99,9.6,67.2,48.5,438.9,16.64,392.9,442.8,4.0,100.0,neutral,bull_core,0.07,0.639,持仓
2026-05-20,TSLA,未持有,417.26,1:1.00,0.0,417.26,中期走强，但,55.2,50.6,0.0,20.0,34.5,29.7,420.63,15.5,48.7,37.7,426.0,10.0,66.1,48.3,438.61,16.83,392.01,442.51,4.0,100.0,neutral,bull_core,0.03,0.642,持仓
2026-05-19,TSLA,未持有,404.11,1:1.00,0.0,404.11,中期走强，但,50.3,48.3,0.0,20.3,34.3,28.3,407.76,14.8,49.3,35.6,409.64,9.0,66.9,45.8,418.72,17.1,378.46,429.76,4.0,100.0,neutral,bull_core,0.0,0.639,持仓
2026-05-18,TSLA,未持有,409.99,1:1.00,0.0,409.99,中期走强，但,52.7,48.9,0.0,19.6,35.3,27.6,413.0,14.2,48.8,35.8,416.53,9.2,66.2,45.9,425.82,17.16,384.25,435.73,4.0,100.0,neutral,bull_core,0.0,0.645,持仓
2026-05-15,TSLA,未持有,426.57,1:1.00,6.7,426.57,中期走强，但,59.9,42.8,0.0,77.8,35.0,30.6,431.08,63.5,48.8,38.3,434.4,43.7,65.7,50.0,451.98,16.95,401.14,452.0,10.0,100.0,neutral,bull_core,0.02,0.64,持仓
2026-05-13,TSLA,已持有,0.0,,0.0,445.27,中期走强，但,70.2,49.4,0.4,91.1,33.4,33.2,453.65,80.0,46.4,41.9,458.96,61.1,61.5,55.6,486.15,17.32,419.29,471.25,10.0,100.0,neutral,bull_core,0.08,0.635,持仓
2026-05-27,TSM,未持有,422.73,1:1.29,4.7,422.73,bull_core,62.8,60.6,0.0,25.9,22.0,40.2,436.15,21.8,31.4,54.4,450.33,18.8,40.7,79.4,510.97,14.28,401.31,444.15,4.0,56.0,expensive,bull_core,0.02,0.751,持仓
2026-05-26,TSM,未持有,412.32,1:1.22,4.2,412.32,bull_core,58.8,61.7,0.0,26.1,21.7,37.7,424.53,22.2,31.4,54.3,437.8,19.0,40.4,77.3,492.86,13.98,391.35,433.29,4.0,56.0,expensive,bull_core,-0.03,0.757,持仓
2026-05-23,TSM,未持有,404.52,1:1.15,2.9,404.52,bull_core,55.5,60.6,0.0,26.1,20.7,37.2,416.42,22.4,30.0,52.9,428.79,19.0,40.0,77.3,483.37,14.13,383.32,425.72,4.0,56.0,expensive,bull_core,-0.04,0.755,持仓
2026-05-21,TSM,未持有,407.15,1:1.09,1.9,407.15,bull_core,56.9,61.1,0.0,26.5,20.2,37.0,419.05,22.4,30.3,51.8,431.07,18.8,40.2,77.5,486.93,14.62,385.22,429.08,4.0,56.0,expensive,bull_core,0.02,0.76,持仓
2026-05-20,TSM,未持有,401.62,1:1.06,1.3,401.62,bull_core,54.6,60.0,0.0,24.9,20.4,35.0,412.7,20.7,29.8,51.2,425.28,17.5,38.9,75.2,476.27,14.82,379.39,423.85,4.0,53.0,expensive,bull_core,-0.01,0.759,持仓
2026-05-19,TSM,未持有,392.61,1:1.00,0.0,392.61,bull_core,50.6,74.4,0.0,25.5,18.9,34.1,404.4,21.8,27.9,51.3,416.67,18.0,37.4,75.4,467.08,15.09,369.97,415.25,4.0,62.0,expensive,bull_core,0.02,0.756,持仓
2026-05-18,TSM,未持有,395.95,1:1.00,0.0,395.95,bull_core,52.2,71.7,0.0,25.3,19.2,34.1,407.23,21.3,27.6,49.3,418.08,18.4,37.7,75.0,470.77,15.19,373.16,418.74,4.0,62.0,expensive,bull_core,0.04,0.748,持仓
2026-05-15,TSM,未持有,406.95,1:1.00,0.0,406.95,bull_core,57.6,67.8,0.0,26.1,18.9,36.5,419.3,21.7,28.4,53.0,432.29,18.1,38.1,77.5,487.33,14.98,384.47,429.43,4.0,62.0,expensive,bull_core,0.05,0.749,持仓
2026-05-13,TSM,未持有,399.8,1:1.00,0.0,399.8,bull_core,56.6,60.0,0.0,27.0,19.1,38.0,412.2,22.7,28.7,53.1,424.07,19.2,38.3,77.8,479.7,14.27,378.4,421.2,4.0,62.0,expensive,bull_core,0.01,0.74,持仓
2026-05-27,VST,未持有,160.15,1:1.00,0.0,160.15,bear_core,56.7,41.7,0.0,19.1,37.5,26.1,160.69,13.4,51.7,32.8,160.33,8.4,69.9,41.0,161.28,7.05,149.57,170.73,4.0,25.0,neutral,bull_core,-0.06,0.358,持仓
2026-05-26,VST,未持有,164.56,1:1.00,0.0,164.56,bear_core,61.0,46.1,0.0,18.0,36.3,26.1,164.85,13.3,51.5,33.5,165.56,7.7,69.7,42.1,167.7,7.08,153.93,175.19,4.0,25.0,neutral,bull_core,-0.06,0.354,持仓
2026-05-23,VST,未持有,156.27,1:1.00,0.0,156.27,bear_core,55.0,38.9,0.0,17.4,37.0,25.7,156.26,12.8,52.1,33.3,156.66,7.6,70.2,41.3,157.6,6.77,146.11,166.43,4.0,25.0,cheap,bull_core,-0.09,0.351,持仓
2026-05-21,VST,未持有,149.08,1:1.00,0.0,149.08,bear_core,48.7,28.9,0.0,17.7,35.9,23.8,149.09,12.0,52.1,30.0,148.37,6.9,71.5,36.8,147.5,6.64,139.12,159.04,4.0,12.0,cheap,bull_core,-0.1,0.345,持仓
2026-05-20,VST,未持有,144.0,1:1.00,0.0,144.0,bear_core,43.5,25.0,0.0,17.0,34.2,21.8,143.58,11.9,50.2,29.3,143.49,6.1,72.0,34.7,140.57,6.74,133.88,154.12,4.0,13.0,cheap,bull_core,-0.12,0.354,持仓
2026-05-19,VST,未持有,134.71,1:1.00,0.0,134.71,bear_core,31.6,8.9,0.0,16.9,34.2,21.2,134.37,11.9,50.1,27.8,133.87,6.3,71.5,33.9,130.64,6.48,124.99,144.43,4.0,23.0,cheap,bull_core,-0.17,0.341,持仓
2026-05-18,VST,未持有,136.75,1:1.00,0.0,136.75,bear_core,33.0,9.4,0.0,17.3,34.1,21.1,136.09,11.6,50.1,27.2,135.43,6.1,71.2,35.0,133.88,6.66,126.75,146.75,4.0,23.0,cheap,bull_core,-0.19,0.344,持仓
2026-05-15,VST,未持有,138.69,1:1.00,0.0,138.69,bear_core,34.4,8.9,0.0,0.0,32.6,21.5,138.41,0.0,49.6,28.0,137.56,0.0,70.9,34.4,135.4,6.73,128.59,148.79,2.0,23.0,cheap,bull_core,-0.2,0.364,持仓
2026-05-13,VST,已持有,0.0,,0.0,142.61,bear_core,37.2,9.4,0.0,0.0,30.7,22.4,142.88,0.0,46.7,29.4,142.7,0.0,68.2,36.4,140.83,7.21,131.8,153.42,2.0,23.0,cheap,bull_core,-0.19,0.35,持仓
2026-05-27,WMT,未持有,118.54,1:1.00,0.0,118.54,bull_core,32.0,93.9,41.7,21.1,21.2,24.1,119.53,16.2,33.8,37.1,120.47,11.6,51.4,52.4,124.21,3.16,113.8,123.28,4.0,69.0,expensive,bull_core,-0.12,0.172,持仓
2026-05-26,WMT,未持有,118.57,1:1.00,0.0,118.57,bull_core,32.0,94.4,43.3,22.4,19.4,24.6,119.77,17.5,31.3,36.2,120.77,12.2,47.9,54.7,124.99,3.3,113.63,123.51,4.0,69.0,expensive,bull_core,-0.12,0.173,持仓
2026-05-23,WMT,未持有,120.27,1:1.00,0.0,120.27,bull_core,34.2,95.0,45.0,21.3,20.5,23.1,121.22,16.6,32.4,36.6,122.45,11.8,49.4,54.8,126.73,3.31,115.31,125.23,4.0,69.0,expensive,bull_core,-0.12,0.158,持仓
2026-05-21,WMT,未持有,121.34,1:1.00,0.0,121.34,bull_core,35.5,95.6,46.7,21.2,20.8,23.7,122.29,16.9,32.6,36.6,123.5,12.5,48.4,55.6,128.35,3.33,116.35,126.33,4.0,75.0,expensive,bull_core,-0.13,0.166,持仓
2026-05-20,WMT,未持有,130.85,1:1.00,0.0,130.85,bull_core,53.0,37.2,0.0,22.2,25.1,31.6,132.29,18.3,36.6,46.0,134.12,14.0,49.7,64.0,140.12,2.78,126.68,135.02,4.0,73.0,cheap,bull_core,-0.03,0.199,持仓
2026-05-19,WMT,未持有,134.2,1:1.00,0.0,134.2,bull_core,63.2,43.9,0.0,22.9,25.9,35.1,136.03,18.5,36.7,46.9,137.55,14.4,50.4,65.5,144.26,2.7,130.16,138.24,4.0,73.0,neutral,bull_core,-0.0,0.24,持仓
